region,actor,flood_scenario,vulnerability_label,fail_share,median_cost_revenue_ratio,median_stressed_margin,priority_label,priority_reason,recommended_action
Karawang,Retail,High,High Vulnerability,1.0,2.023333333333333,-5006600.0,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Karawang,Rice Miller,High,High Vulnerability,1.0,1.0644027757500236,-35531851.43637228,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Karawang,Wholesaler,High,High Vulnerability,0.7857142857142857,1.018028350515464,-67529500.0,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.
Garut,Retail,High,High Vulnerability,1.0,1.7428571428571429,-4448484.932756792,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74; HistFloodExp=0.39,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Garut,Middlemen,High,High Vulnerability,1.0,1.3577741702741704,-25266182.013248023,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Subang,Retail,High,High Vulnerability,1.0,1.7333333333333334,-4210084.197667087,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Garut,Wholesaler,High,High Vulnerability,0.92,1.0795454545454546,-28328749.40416141,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=92%; Median C/R=1.08; HistFloodExp=0.39,Prepare buffer stock and route contingency for bulk distribution.
Subang,Middlemen,High,High Vulnerability,0.8571428571428571,0.9223993288590604,-21221854.300914228,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=86%; Median C/R=0.92; HistFloodExp=0.36,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Indramayu,Retail,High,High Vulnerability,1.0,2.1145,-4703986.567263987,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Tasikmalaya,Retail,High,High Vulnerability,1.0,2.017916666666667,-4871065.901639344,Critical,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
