column,modeling_policy
actor,operational_candidate
region,operational_candidate
dmu,identifier_or_admin_excluded_from_modeling
actor_role,identifier_or_admin_excluded_from_modeling
vulnerability_label,target
final_vulnerability_score,label_construction_excluded_from_operational
label_source,label_construction_excluded_from_operational
labeling_function_hits,label_construction_excluded_from_operational
label_reason,label_construction_excluded_from_operational
total_cost,operational_candidate
output_value,operational_candidate
margin,operational_candidate
rc_ratio,redundant_inverse_excluded_from_operational
cost_revenue_ratio,operational_candidate
operational_burden_ratio,operational_candidate
precipitation_stress_raw,operational_candidate
rule_vulnerability_score,label_construction_excluded_from_operational
cluster_support_score,audit_only_excluded_from_modeling
cluster_support_label,audit_only_excluded_from_modeling
rule_cluster_agreement,audit_only_excluded_from_modeling
cluster_support_gap,audit_only_excluded_from_modeling
vulnerability_cluster,audit_only_excluded_from_modeling
lf_below_break_even,label_construction_excluded_from_operational
lf_negative_margin,label_construction_excluded_from_operational
lf_high_composite_pressure,label_construction_excluded_from_operational
lf_thin_rc_buffer,label_construction_excluded_from_operational
lf_thin_margin_buffer,label_construction_excluded_from_operational
lf_medium_composite_pressure,label_construction_excluded_from_operational
source_sheet,identifier_or_admin_excluded_from_modeling
source_row,identifier_or_admin_excluded_from_modeling
land_area_m2,operational_candidate
land_lease_value_idr,operational_candidate
labor_cost_idr,operational_candidate
seed_purchase_value_idr,operational_candidate
fertilizer_purchase_value_idr,operational_candidate
pesticide_purchase_value_idr,operational_candidate
equipment_rent_value_idr,operational_candidate
production_value_idr,operational_candidate
number_of_machines,operational_candidate
value_of_milled_grains_idr,operational_candidate
amount_of_milled_rice_kg,operational_candidate
supporting_equipment_cost_idr,operational_candidate
nilaiberashasilgiling,operational_candidate
total_revenue_of_milling_machine_idr,operational_candidate
total_rice_purchase_kg,operational_candidate
total_rice_purchase_idr,operational_candidate
building_rent_cost_idr,operational_candidate
value_of_rice_sold_idr,operational_candidate
total_precipitation_pct,operational_candidate
precipitation_quality_pct,operational_candidate
value_of_rice_purchase_idr,operational_candidate
operational_cost,operational_candidate
quantity_proxy,operational_candidate
margin_ratio,operational_candidate
cost_per_quantity_proxy,operational_candidate
output_per_quantity_proxy,operational_candidate
negative_margin_flag,label_construction_excluded_from_operational
below_break_even_flag,label_construction_excluded_from_operational
financial_infeasibility_score,label_construction_excluded_from_operational
margin_pressure_score,label_construction_excluded_from_operational
operational_burden_score,label_construction_excluded_from_operational
frontier_efficiency_score,operational_candidate
frontier_inefficiency_score,label_construction_excluded_from_operational
precipitation_stress_score,label_construction_excluded_from_operational
low_utilization_pressure,label_construction_excluded_from_operational
